"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Открытие формы справочника ""Группы аналитического учета номенклатуры"" (ГруппыАналитическогоУчетаНоменклатуры)","1","0","Открытие формы справочника ""Группы аналитического учета номенклатуры"" (ГруппыАналитическогоУчетаНоменклатуры)","0"
"0","","0","Открытие формы отчета ""Реестр договоров по кредитам и депозитам"" (РеестрКредитовИДепозитов)","1","0","Открытие формы отчета ""Реестр договоров по кредитам и депозитам"" (РеестрКредитовИДепозитов)","0"
"0","","0","Открытие формы отчета ""Карта продаж"" (КартаПродаж)","1","0","Открытие формы отчета ""Карта продаж"" (КартаПродаж)","0"
"0","","0","Открытие формы документа ""Заправки"" (апрЗаправки)","1","0","Открытие формы документа ""Заправки"" (апрЗаправки)","0"
"0","","0","Копирование элемента справочника ""Статусы понетциальных клиентов"" (ЯРВЕТ_СтатусыПотенциальныхКлиентов)","1","0","Копирование элемента справочника ""Статусы понетциальных клиентов"" (ЯРВЕТ_СтатусыПотенциальныхКлиентов)","0"
"0","","0","Открытие формы списка документа ""Производственная операция ВетИС"" (ПроизводственнаяОперацияВЕТИС)","1","0","Открытие формы списка документа ""Производственная операция ВетИС"" (ПроизводственнаяОперацияВЕТИС)","0"
"0","","0","Открытие формы регистра сведений ""Публичные идентификаторы синхронизируемых объектов"" (ПубличныеИдентификаторыСинхронизируемыхОбъектов)","1","0","Открытие формы регистра сведений ""Публичные идентификаторы синхронизируемых объектов"" (ПубличныеИдентификаторыСинхронизируемыхОбъектов)","0"
"0","","0","Копирование элемента справочника ""Обработчики событий точек маршрута"" (CRM_ОбработчикиСобытийТочекМаршрута)","1","0","Копирование элемента справочника ""Обработчики событий точек маршрута"" (CRM_ОбработчикиСобытийТочекМаршрута)","0"
"0","","0","Открытие формы отчета ""Динамика изменения цен номенклатуры поставщика"" (ДинамикаИзмененияЦенНоменклатурыПоставщика)","1","0","Открытие формы отчета ""Динамика изменения цен номенклатуры поставщика"" (ДинамикаИзмененияЦенНоменклатурыПоставщика)","0"
"0","","0","Открытие формы справочника ""Шаблоны сообщений"" (ШаблоныСообщений)","1","0","Открытие формы справочника ""Шаблоны сообщений"" (ШаблоныСообщений)","0"
"0","","0","Открытие формы списка документа ""Рассылка клиентам"" (РассылкаКлиентам)","1","0","Открытие формы списка документа ""Рассылка клиентам"" (РассылкаКлиентам)","0"
"0","","0","Копирование элемента справочника ""CISLink настройки отправки данных"" (CISLink_НастройкиОтправкиДанных)","1","0","Копирование элемента справочника ""CISLink настройки отправки данных"" (CISLink_НастройкиОтправкиДанных)","0"
"0","","0","Копирование элемента справочника ""Настройки обмена с банками"" (НастройкиОбменСБанками)","1","0","Копирование элемента справочника ""Настройки обмена с банками"" (НастройкиОбменСБанками)","0"
"0","","0","Копирование элемента документа ""Визит в точку"" (ЯРВЕТ_ВизитВТочку)","1","0","Копирование элемента документа ""Визит в точку"" (ЯРВЕТ_ВизитВТочку)","0"
"0","","0","Открытие формы списка справочника ""Сегменты клиентов"" (СегментыПартнеров)","1","0","Открытие формы списка справочника ""Сегменты клиентов"" (СегментыПартнеров)","0"
"0","","0","Открытие формы списка справочника ""Шаблоны e-mail рассылки"" (CRM_ШаблоныРассылки)","1","0","Открытие формы списка справочника ""Шаблоны e-mail рассылки"" (CRM_ШаблоныРассылки)","0"
"0","","0","Копирование элемента справочника ""Предприятия ВетИС"" (ПредприятияВЕТИС)","1","0","Копирование элемента справочника ""Предприятия ВетИС"" (ПредприятияВЕТИС)","0"
"0","","0","Открытие формы списка справочника ""Скидки (наценки)"" (СкидкиНаценки)","1","0","Открытие формы списка справочника ""Скидки (наценки)"" (СкидкиНаценки)","0"
"0","","0","Открытие формы списка справочника ""Графики доставки"" (АйТи_ГрафикиДоставки)","1","0","Открытие формы списка справочника ""Графики доставки"" (АйТи_ГрафикиДоставки)","0"
"0","","0","Копирование элемента справочника ""Шаблоны SMS-сообщений"" (смсШаблоны)","1","0","Копирование элемента справочника ""Шаблоны SMS-сообщений"" (смсШаблоны)","0"
"0","","0","Копирование элемента документа ""Пакет прямого обмена с банками"" (ПакетОбменСБанками)","1","0","Копирование элемента документа ""Пакет прямого обмена с банками"" (ПакетОбменСБанками)","0"
"0","","0","Открытие формы отчета ""Исполнение распоряжений на поступление"" (ИсполнениеРаспоряженийНаПоступление)","1","0","Открытие формы отчета ""Исполнение распоряжений на поступление"" (ИсполнениеРаспоряженийНаПоступление)","0"
"0","","0","Открытие формы списка регистра сведений ""История изменения форматов магазинов"" (ИсторияИзмененияФорматовМагазинов)","1","0","Открытие формы списка регистра сведений ""История изменения форматов магазинов"" (ИсторияИзмененияФорматовМагазинов)","0"
"0","","0","Копирование элемента справочника ""Договоры с контрагентами"" (ДоговорыКонтрагентов)","1","0","Копирование элемента справочника ""Договоры с контрагентами"" (ДоговорыКонтрагентов)","0"
"0","","0","Копирование элемента группы справочника ""Шаблоны оповещения задач"" (CRM_ШаблоныЗадач)","1","0","Копирование элемента группы справочника ""Шаблоны оповещения задач"" (CRM_ШаблоныЗадач)","0"
"0","","0","Открытие формы списка регистра сведений ""Оповещения"" (CRM_Оповещения)","1","0","Открытие формы списка регистра сведений ""Оповещения"" (CRM_Оповещения)","0"
"0","","0","Открытие формы списка регистра сведений ""Очередь сообщений (Мобильное приложение склад)"" (ИнтеграцияМПСОчередьСообщений)","1","0","Открытие формы списка регистра сведений ""Очередь сообщений (Мобильное приложение склад)"" (ИнтеграцияМПСОчередьСообщений)","0"
"0","","0","Копирование элемента справочника ""Графики доставки"" (АйТи_ГрафикиДоставки)","1","0","Копирование элемента справочника ""Графики доставки"" (АйТи_ГрафикиДоставки)","0"
